# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.11.2
#@/tick	2043
#@/user_id	Home-PC
a 	啊	c=0 d=0.000171216 t=2043
da xing 	大型	c=1 d=0.00108628 t=2043
da yin 	打印	c=10 d=2.028 t=2043
dai 	帶	c=2 d=0.0408142 t=2043
dai lai 	帶來	c=1 d=0.366045 t=2043
dai ma 	代碼	c=10 d=0.109179 t=2043
dan 	單	c=1 d=5.54516e-05 t=2043
dan bai zhi 	蛋白質	c=0 d=1.50733e-05 t=2043
dan chun 	單純	c=1 d=0.000149981 t=2043
dan du 	單獨	c=1 d=6.53992e-05 t=2043
dan kai 	彈開	c=1 d=5.5175e-05 t=2043
dan na shi 	但那是	c=1 d=4.51735e-05 t=2043
dan shi 	但是	c=9 d=0.88692 t=2043
dan shi wo jue de 	但是我覺得	c=1 d=0.000171659 t=2043
dan wu 	耽誤	c=1 d=0.00201931 t=2043
dang 	當	c=3 d=0.0250842 t=2043
dao 	到	c=5 d=0.149541 t=2043
dao chu 	導出	c=0 d=4.79669e-06 t=2043
dao ru 	導入	c=1 d=0.904837 t=2043
dao ru dao chu 	導入導出	c=1 d=4.82073e-05 t=2043
dao zhi 	導致	c=5 d=0.51576 t=2043
de 	得	c=1 d=0.913931 t=2043
de 	的	c=137 d=13.6514 t=2043
de dao 	得到	c=1 d=0.00637737 t=2043
dei 	得	c=1 d=0.532592 t=2043
deng 	登	c=1 d=0.0169075 t=2043
deng dai 	等待	c=3 d=0.000804638 t=2043
deng yi hui 	等一會	c=1 d=0.0134335 t=2043
di fang 	地方	c=1 d=0.00285124 t=2043
di zeng 	遞增	c=4 d=0.00262334 t=2043
di zhi 	地址	c=7 d=1.28509 t=2043
di zhi ma 	地址嗎	c=1 d=0.00680566 t=2043
dian hua hao ma 	電話號碼	c=1 d=0.0385808 t=2043
diao xian 	掉線	c=2 d=0.306847 t=2043
diao yong 	調用	c=2 d=0.217014 t=2043
ding 	丁	c=3 d=0.0325973 t=2043
ding ding 	釘釘	c=1 d=0.65377 t=2043
ding ding 	頂頂	c=1 d=0.647265 t=2043
ding gong 	丁工	c=1 d=0.0297478 t=2043
ding gou 	訂購	c=2 d=0.0311721 t=2043
ding yi 	定義	c=2 d=0.246718 t=2043
dong 	動	c=0 d=0.0290835 t=2043
dong fang 	東方	c=0 d=0.00925506 t=2043
dong fang ji liang 	東方計量	c=1 d=0.0930145 t=2043
dong tai 	動態	c=2 d=0.509415 t=2043
dou 	都	c=8 d=0.556946 t=2043
dou bu 	都不	c=0 d=0.000612731 t=2043
dou bu deng yu 	都不等於	c=2 d=0.000162174 t=2043
dou bu shu yu 	都不屬於	c=1 d=0.000249763 t=2043
dou bu yi yang 	都不一樣	c=2 d=0.076457 t=2043
dou dei 	都得	c=1 d=0.50409 t=2043
dou shi 	都是	c=3 d=0.354144 t=2043
dou xiu gai 	都修改	c=1 d=0.000564257 t=2043
dou yao 	都要	c=3 d=0.211962 t=2043
dou yong bu liao 	都用不了	c=1 d=0.107528 t=2043
dou you 	都有	c=1 d=7.33697e-05 t=2043
du ji 	妒忌	c=1 d=0.0611149 t=2043
du qu 	讀取	c=3 d=0.00069598 t=2043
duan zan 	短暫	c=1 d=0.0015415 t=2043
dui 	堆	c=1 d=0.232236 t=2043
dui 	對	c=1 d=0.0614212 t=2043
duo 	多	c=0 d=0.00128424 t=2043
duo le 	多了	c=1 d=0.0246002 t=2043
duo shao 	多少	c=4 d=1.50032 t=2043
e e 	哦哦	c=0 d=0.000189223 t=2043
